,Alist,Blist,AngleList,CentreX,CentreY
241,76.0,40.0,160.18920517889504,1121,1280
242,77.0,41.0,145.11963602411686,1117,79
243,77.0,41.0,140.10921862658145,1122,2018
244,76.0,40.0,137.43609980897702,1135,1478
245,76.0,40.0,34.29197069319832,1135,1644
246,77.0,41.0,170.69086339806,1147,2106
247,76.0,40.0,120.92426913619155,1147,790
248,76.0,40.0,156.74029097249172,1161,925
249,77.0,41.0,87.52819032263267,1160,2308
250,76.0,40.0,128.36112219654163,1175,660
251,77.0,41.0,10.661627358453927,1168,1192
252,78.0,41.0,6.139029366780875,1176,1918
253,76.0,40.0,152.53448292520753,1186,1546
254,76.0,40.0,5.798542297455441,1173,1376
255,77.0,41.0,160.37059679003613,1191,1827
256,78.0,41.0,177.3067412786109,1193,162
257,77.0,41.0,138.23856810696316,1194,439
258,76.0,40.0,37.54366387489011,1193,1105
259,77.0,41.0,5.292320129881375,1207,336
260,77.0,41.0,0.7400040471718512,1207,1738
261,76.0,40.0,121.74959656632895,1230,987
262,75.0,40.0,139.73948632327046,1227,2555
263,77.0,41.0,130.74529414032276,1236,2003
264,77.0,41.0,127.37642921377375,1236,2157
265,76.0,40.0,127.7439794427,1243,1272
266,77.0,41.0,163.80934265750668,1258,2370
267,76.0,40.0,170.23973090437806,1232,2458
268,76.0,40.0,102.65095518203579,1244,718
269,76.0,40.0,108.11158441093427,1248,1623
270,77.0,41.0,141.85549436281184,1253,236
271,76.0,40.0,167.89240457396681,1258,551
272,77.0,41.0,118.13661615587482,1254,2263
273,78.0,41.0,35.99418383708973,1254,85
274,77.0,41.0,142.62763138491175,1263,1437
275,76.0,40.0,105.55738354248619,1274,841
276,34.07630356711932,34.07630356711932,0.0,1294,2591
277,76.0,40.0,139.81031900283514,1297,448
278,77.0,41.0,40.87496233875898,1296,1093
279,78.0,41.0,7.75412344986313,1302,1879
280,77.0,41.0,47.99141527173813,1332,2074
281,76.0,40.0,147.50904054490513,1340,605
282,77.0,41.0,136.70645884709475,1330,1661
283,77.0,41.0,17.85566515824192,1335,1801
284,76.0,40.0,66.01961245908737,1334,1003
285,76.0,40.0,38.82894100075385,1342,1347
286,76.0,40.0,140.64193471813718,1356,1462
287,77.0,41.0,72.02599356089395,1344,1229
288,78.0,41.0,51.87668054020592,1367,192
289,77.0,41.0,36.7696321457315,1373,2275
290,77.0,41.0,22.830912450552063,1370,355
291,77.0,41.0,153.54145854461882,1369,1552
292,76.0,40.0,59.3056822280677,1373,841
293,32.361080413741924,32.361080413741924,0.0,1381,2594
294,77.0,41.0,25.170966424027355,1390,2189
295,77.0,41.0,132.15101986648386,1406,1701
296,77.0,41.0,91.47861910579994,1404,1133
297,76.0,40.0,61.893436491587366,1412,752
298,74.0,39.0,0.6915571782106582,1404,2443
299,74.0,39.0,172.3654059767952,1413,2529
300,76.0,40.0,55.25549381263323,1423,2059
301,76.0,40.0,72.46813793587937,1418,987
302,78.0,41.0,26.975910530897615,1433,132
303,77.0,41.0,22.923371819829143,1434,453
304,77.0,41.0,33.02941073014383,1429,1957
305,77.0,41.0,74.93172896071096,1434,1316
306,76.0,40.0,63.856612568706026,1449,658
307,78.0,41.0,32.15606162348593,1458,312
308,76.0,40.0,168.20516786717667,1469,1593
309,77.0,41.0,170.99004347320465,1462,1865
310,77.0,41.0,148.134842431083,1467,2351
311,76.0,40.0,32.561508731934744,1464,553
312,77.0,41.0,128.15616369779303,1466,1759
313,77.0,41.0,140.61835732594952,1485,1423
314,77.0,41.0,93.57428268795702,1479,1196
315,35.3553803973843,35.3553803973843,0.0,1487,2590
316,78.0,41.0,27.89722991938595,1495,235
317,76.0,40.0,30.45899399562944,1497,894
318,77.0,41.0,167.7096957943685,1517,2253
319,77.0,41.0,113.1583331401217,1506,2144
320,77.0,41.0,110.77827563157815,1512,770
321,77.0,41.0,178.3645184657915,1516,1078
322,76.0,40.0,179.7200732607218,1522,1509
323,77.0,41.0,166.63259610518398,1542,2026
324,76.0,40.0,19.045600272466473,1534,992
325,77.0,41.0,115.10139998341333,1529,1292
326,77.0,41.0,13.658768051467149,1535,411
327,77.0,41.0,158.41881121861198,1565,2385
328,77.0,41.0,12.701794293680393,1550,1938
329,75.0,40.0,1.2736754481369132,1569,2473
330,77.0,41.0,166.1676379211549,1552,1651
331,74.0,39.0,12.675774467173298,1577,2561
332,76.0,40.0,9.197076593358432,1569,652
333,76.0,40.0,126.25646679481227,1568,1750
334,78.0,41.0,47.043797455910095,1566,182
335,77.0,41.0,130.66852598760897,1582,1154
336,77.0,41.0,79.38870723955894,1586,846
337,77.0,41.0,132.3108917559586,1592,307
338,76.0,40.0,19.7043272994199,1603,574
339,76.0,40.0,100.69387132678084,1599,2121
340,77.0,41.0,118.09503601306506,1602,1334
341,77.0,41.0,178.34803027914262,1622,488
342,77.0,41.0,20.24865868926976,1616,1453
343,76.0,40.0,27.238432414895122,1630,747
344,77.0,41.0,5.345001000075442,1635,112
345,76.0,40.0,31.62245942827287,1637,1887
346,13.73891416768399,13.73891416768399,0.0,1629,2605
347,77.0,41.0,19.315951892491256,1644,2306
348,77.0,41.0,148.57173812592026,1649,1209
349,76.0,40.0,158.2750697126142,1657,939
350,77.0,41.0,156.56115484318806,1660,1786
351,19.273495717603584,19.273495717603584,0.0,1684,2604
352,77.0,41.0,169.55334483655216,1672,2219
353,77.0,41.0,22.306921909177007,1692,1690
354,77.0,41.0,162.28280816485642,1688,403
355,77.0,41.0,130.43433792846517,1690,1353
356,76.0,40.0,10.453626700272068,1682,1601
357,77.0,41.0,4.901466405796938,1694,2000
358,78.0,41.0,156.5450344843228,1686,2401
359,77.0,41.0,124.12977048463961,1693,2109
360,77.0,41.0,115.09703777537979,1692,1084
361,77.0,41.0,143.72322927953365,1694,2490
362,77.0,41.0,145.69835176531302,1698,837
363,76.0,40.0,15.224562481057959,1720,699
364,78.0,41.0,165.90408729365294,1726,178
365,77.0,41.0,166.71799220734746,1730,263
366,78.0,41.0,30.21281130857968,1754,84
367,77.0,41.0,164.4555503360108,1749,1835
368,77.0,41.0,170.96929456740168,1755,532
369,77.0,41.0,173.107290175429,1756,616
370,76.0,40.0,159.66719502407756,1756,1416
371,77.0,41.0,138.8305525068292,1764,1509
372,77.0,41.0,144.69563861321365,1750,1231
373,39.58987092134787,39.58987092134787,0.0,1753,1141
374,77.0,41.0,70.89700924681199,1768,2302
375,77.0,41.0,148.7192110281431,1770,958
376,40.247720566378796,40.247720566378796,0.0,1789,1086
377,77.0,41.0,177.51042353028407,1773,2552
378,77.0,41.0,7.024223373980362,1793,2164
379,77.0,41.0,179.66564577137433,1802,448
380,26.05676471149144,26.05676471149144,0.0,1806,2603
381,77.0,41.0,123.3527297316104,1804,1300
382,77.0,41.0,12.558999911435436,1812,1663
383,77.0,41.0,32.67774848143661,1817,2079
384,78.0,41.0,173.75608939927224,1818,1750
385,78.0,41.0,14.182945035670357,1838,2479
386,77.0,41.0,30.1158678962952,1837,840
387,77.0,41.0,11.031984884724395,1841,1583
388,36.19618062078487,36.19618062078487,0.0,1817,2398
389,77.0,41.0,32.65049809974895,1842,1997
390,77.0,41.0,165.84404699612543,1852,743
391,77.0,41.0,3.0532681498735883,1863,1016
392,77.0,41.0,156.0544426236852,1860,276
393,77.0,41.0,32.97868218167,1855,1907
394,77.0,41.0,154.6861586337775,1871,651
395,78.0,41.0,142.75339000796745,1876,1112
396,60.0,32.0,161.46224287761362,1883,2390
397,78.0,41.0,110.3023599422413,1877,535
398,77.0,41.0,120.73548413451607,1877,1472
399,39.958007821935944,39.958007821935944,0.0,1859,2312
400,74.0,39.0,176.06091367491382,1885,184
401,76.0,40.0,141.94004591126213,1889,358
402,36.06844195183862,36.06844195183862,0.0,1918,2307
403,68.0,36.0,148.90983720548348,1898,930
404,69.0,36.0,178.8773686319048,1894,100
405,43.00442347861234,43.00442347861234,0.0,1880,2226
406,62.0,33.0,130.1670636061756,1908,1187
407,38.11934719311185,38.11934719311185,0.0,1915,1362
408,27.204236533623092,27.204236533623092,0.0,1931,2221
409,37.64459607022283,37.64459607022283,0.0,1920,796
410,61.0,32.0,136.11383662934156,1907,1277
411,29.98177977677484,29.98177977677484,0.0,1933,1509
412,63.0,33.0,94.19296509724978,1921,1668
413,38.219420033504115,38.219420033504115,0.0,1916,1780
414,38.03156745151513,38.03156745151513,0.0,1915,1857
415,30.979094674378864,30.979094674378864,0.0,1927,1978
416,35.2291107783123,35.2291107783123,0.0,1920,2067
417,38.28183271462029,38.28183271462029,0.0,1913,2145
418,17.778687155707086,17.778687155707086,0.0,1938,2419
